Urchin_no,Salinity,urchin_mass,alive,stipe1_g,stipe2_g,sum_stipes,total_kelp_consumed_g,kelp_consumed_g,
1,35,139,yes,0,0,0,10,9.6975,
2,35,157,yes,2.95,4.04,6.99,3.01,2.7075,
4,35,77,yes,0,0,0,10,9.6975,
5,35,118,yes,0,0,0,10,9.6975,
6,35,109,yes,0,0,0,10,9.6975,
7,35,79,yes,0,3.53,3.53,6.47,6.1675,
8,35,169,yes,0,0,0,10,9.6975,
9,35,126,yes,0,0,0,10,9.6975,
1,30,94,yes,0,0,0,10,9.6975,
2,30,159,yes,0,0,0,10,9.6975,
3,30,133,yes,0,0,0,10,9.6975,
4,30,152,yes,0,0,0,10,9.6975,
5,30,89,yes,0,0,0,10,9.6975,
6,30,178,yes,0,2.54,2.54,7.46,7.1575,
7,30,110,yes,0,2.76,2.76,7.24,6.9375,
9,30,134,yes,4.65,4.3,8.95,1.05,0.7475,
1,25,109,yes,5.1,3.43,8.53,1.47,1.1675,
2,25,109,yes,0,0,0,10,9.6975,
3,25,186,yes,4.19,3.8,7.99,2.01,1.7075,
4,25,146,yes,5.06,5.02,10.08,0,0,
5,25,135,yes,0,1.25,1.25,8.75,8.4475,
6,25,76,yes,4.02,3.68,7.7,2.3,1.9975,
7,25,105,yes,3.73,2.78,6.51,3.49,3.1875,
8,25,91,yes,3.74,4.4,8.14,1.86,1.5575,
9,25,106,yes,0,2.52,2.52,7.48,7.1775,
1,20,117,yes,4.35,5,9.35,0.65,0.3475,
2,20,131,yes,4.45,4.45,8.9,1.1,0.7975,
3,20,135,yes,4.05,4.97,9.02,0.98,0.6775,
4,20,172,yes,4.54,3.34,7.88,2.12,1.8175,
6,20,142,yes,5.01,5.02,10.03,0,0,
7,20,147,yes,4.98,3.8,8.78,1.22,0.9175,
8,20,117,yes,4.99,4.39,9.38,0.62,0.3175,
9,20,175,yes,4.53,4.92,9.45,0.55,0.2475,
control no urchins,35,,,4.64,4.47,9.11,,,
control no urchins,30,,,4.97,4.94,9.91,,,
control no urchins,25,,,5.1,4.81,9.91,,,
control no urchins,20,,,4.91,4.95,9.86,,,
control no urchins,average,,,,,9.6975,,,
,,,,,,,,,
